iter	Passed	Remaining
224	9107	7083
225	9144	7040
226	9183	6998
227	9219	6955
228	9256	6911
229	9291	6867
230	9325	6822
231	9363	6780
232	9396	6734
233	9433	6692
234	9470	6649
235	9506	6605
236	9543	6563
237	9580	6521
238	9615	6477
239	9652	6435
240	9689	6392
241	9726	6350
242	9763	6308
243	9798	6264
244	9834	6221
245	9870	6179
246	9904	6135
247	9942	6093
248	9977	6050
249	10012	6007
250	10049	5965
251	10086	5923
252	10123	5882
253	10164	5842
254	10200	5800
255	10236	5757
256	10272	5716
257	10312	5676
258	10352	5635
259	10434	5618
260	10485	5584
261	10523	5542
262	10564	5503
263	10603	5462
264	10640	5420
265	10680	5380
266	10716	5338
267	10752	5295
268	10790	5254
269	10826	5212
270	10863	5171
271	10899	5129
272	10934	5086
273	10971	5045
274	11009	5004
275	11044	4962
276	11080	4920
277	11118	4879
278	11154	4837
279	11192	4796
280	11227	4754
281	11263	4713
282	11299	4671
283	11334	4629
284	11372	4588
285	11410	4548
286	11446	4506
287	11481	4464
288	11518	4424
289	11554	4382
290	11596	4343
291	11636	4303
292	11673	4262
293	11707	4221
294	11743	4179
295	11782	4139
296	11817	4098
297	11858	4058
298	11894	4017
299	11935	3978
300	11971	3937
301	12005	3895
302	12044	3855
303	12085	3816
304	12123	3776
305	12164	3736
306	12203	3696
307	12242	3656
308	12283	3617
309	12325	3578
310	12367	3539
311	12405	3499
312	12444	3458
313	12481	3418
314	12520	3378
315	12559	3338
316	12598	3298
317	12636	3258
318	12674	3218
319	12709	3177
320	12748	3137
321	12784	3096
322	12820	3056
323	12859	3016
324	12896	2976
325	12931	2935
326	12970	2895
327	13004	2854
328	13039	2813
329	13075	2773
330	13112	2733
331	13149	2693
332	13187	2653
333	13223	2613
334	13260	2572
335	13297	2532
336	13332	2492
337	13370	2452
338	13407	2412
339	13444	2372
340	13479	2332
341	13517	2292
342	13552	2252
343	13589	2212
344	13622	2171
345	13658	2131
346	13694	2091
347	13728	2051
348	13767	2011
349	13802	1971
350	13839	1931
351	13874	1891
352	13911	1852
353	13948	1812
354	13983	1772
355	14020	1732
356	14057	1693
357	14093	1653
358	14129	1613
359	14165	1573
360	14201	1534
361	14241	1494
362	14276	1455
363	14318	1416
364	14355	1376
365	14391	1336
366	14432	1297
367	14467	1258
368	14507	1218
369	14546	1179
370	14583	1139
371	14619	1100
372	14658	1061
373	14698	1021
374	14734	982
375	14772	942
376	14808	903
377	14846	864
378	14884	824
379	14921	785
380	14961	746
381	14997	706
382	15034	667
383	15069	627
384	15104	588
385	15141	549
386	15177	509
387	15212	470
388	15250	431
389	15289	392
390	15324	352
391	15359	313
392	15395	274
393	15431	234
394	15467	195
395	15503	156
396	15541	117
397	15577	78
398	15611	39
399	15647	0
