iter	Logloss
0	0.5781681186
1	0.5010863177
2	0.4383865062
3	0.3920388278
4	0.3565126057
5	0.3293827289
6	0.3098853779
7	0.2962107022
8	0.2852703805
9	0.2771693996
10	0.2716551765
11	0.266832106
12	0.2622869434
13	0.2583204243
14	0.2534574915
15	0.2500327019
16	0.2468798456
17	0.241532826
18	0.2392952559
19	0.2360798302
20	0.2326974891
21	0.2293499203
22	0.227274993
23	0.2230716679
24	0.2186591195
25	0.2171456429
26	0.2152853548
27	0.2119157018
28	0.2093021027
29	0.2065500845
30	0.2042485355
31	0.2028400479
32	0.2006669502
33	0.197965852
34	0.1964683488
35	0.1938268139
36	0.1909557182
37	0.1889408277
38	0.1874107678
39	0.1842578044
40	0.183055335
41	0.1808723678
42	0.1797368655
43	0.1781146096
44	0.1766580005
45	0.1741508153
46	0.1732439917
47	0.1728115975
48	0.1706468986
49	0.1688486642
50	0.1662668601
51	0.1652051816
52	0.1644829911
53	0.1617094985
54	0.1605403395
55	0.1599802904
56	0.1584824812
57	0.1560342798
58	0.1545530304
59	0.1533496665
60	0.1521977172
61	0.1509372367
62	0.1495039647
63	0.1481354488
64	0.1473504888
65	0.1469659537
66	0.1448172194
67	0.1424757748
68	0.1414975729
69	0.1396373697
70	0.1387725412
71	0.1375789776
72	0.136388552
73	0.1351340928
74	0.1341182108
75	0.1334904575
76	0.1326651841
77	0.1308427069
78	0.1303959496
79	0.129290315
80	0.128401744
81	0.1279522943
82	0.1266564619
83	0.1259548793
84	0.1247708658
85	0.1237676562
86	0.1231293924
87	0.1217640546
88	0.1203228361
89	0.1201288002
90	0.1187682141
91	0.1182341028
92	0.1174621381
93	0.115608011
94	0.1149372641
95	0.114130392
96	0.1131022183
97	0.1124388217
98	0.1118899497
99	0.1112638011
100	0.1107434188
101	0.1099288201
102	0.1091322139
103	0.10797579
104	0.1072979308
105	0.1064006283
106	0.105813998
107	0.1049110013
108	0.104268724
109	0.1035850556
110	0.1029205579
111	0.1018923429
112	0.1009489334
113	0.1000850351
114	0.09960488246
115	0.09924835679
116	0.09857691981
117	0.09793732261
118	0.09708832243
119	0.09652799186
120	0.09600425827
121	0.09550413203
122	0.09517810719
123	0.09465744233
124	0.09399208587
125	0.0933498052
126	0.09271422929
127	0.09227097397
128	0.0919214233
129	0.09101330592
130	0.09047285734
131	0.09026147163
132	0.0897682104
133	0.08935134361
134	0.08885974181
135	0.08828575382
136	0.0875949452
137	0.08703857395
138	0.08665497688
139	0.08586215303
140	0.0854082169
141	0.08485646326
142	0.08433831324
143	0.08367508245
144	0.08308099249
145	0.0824199471
146	0.0820726293
147	0.0816895275
148	0.08129364713
149	0.08080854684
150	0.08042531494
151	0.07983635181
152	0.07940633961
153	0.07855686371
154	0.07827970742
155	0.07790644945
156	0.07737121091
157	0.07698039428
158	0.07590868992
159	0.0755835417
160	0.07526148064
161	0.07502085319
162	0.07450712202
163	0.07401202769
164	0.07359649203
165	0.07287806203
166	0.07230627621
167	0.0720516111
168	0.07176555571
169	0.07117134458
170	0.07088683026
171	0.07027933525
172	0.0697085595
173	0.06938395065
174	0.06866921753
175	0.0682862676
176	0.06791809013
177	0.06772704203
178	0.067505607
179	0.06680329566
180	0.06634033257
181	0.06604557853
182	0.06576590181
183	0.0655427007
184	0.06507308422
185	0.06466584574
186	0.06419805676
187	0.06392785481
188	0.06368279122
189	0.06319183209
190	0.06278781924
191	0.06242586857
192	0.06219490406
193	0.06172824576
194	0.061547496
195	0.06117205374
196	0.06092190463
197	0.06012946828
198	0.05958378287
199	0.0591793574
200	0.05879741419
201	0.05805566998
202	0.05774931383
203	0.05743933897
204	0.05718724231
205	0.05656969073
206	0.05631861921
207	0.05610437471
208	0.0557035071
209	0.0555067604
210	0.05509139392
211	0.05481903503
212	0.05453238443
213	0.05430100115
214	0.05401189042
215	0.05382285353
216	0.05353101802
217	0.05336632662
218	0.05313548774
219	0.05295525111
220	0.05271289779
221	0.05240162586
222	0.05213078068
223	0.05188904713
224	0.05173453514
225	0.05162864323
226	0.05103677441
227	0.05067251103
228	0.05029510558
229	0.04998334286
230	0.04981453134
231	0.04963675204
232	0.04943720546
233	0.04922285627
234	0.04887852792
235	0.04864022631
236	0.04817716523
237	0.04792058552
238	0.04753630893
239	0.04735765245
240	0.04715945737
241	0.04676362167
242	0.04658845074
243	0.04631764716
244	0.04611057504
245	0.04591732785
246	0.04572053899
247	0.04542235636
248	0.04519892074
249	0.04505653571
250	0.04483329999
251	0.04450274323
252	0.04411022166
253	0.04383189896
254	0.04354519001
255	0.0432796858
256	0.04304670338
257	0.04281214864
258	0.04268491799
259	0.04245079206
260	0.04234750014
261	0.04221885796
262	0.04190752154
263	0.04175061281
264	0.04147986645
265	0.0413224739
266	0.04119185597
267	0.04108949121
268	0.04072206724
269	0.04049026575
270	0.04020334463
271	0.04006075217
272	0.03983619621
273	0.03971728201
274	0.03962676614
275	0.03938152304
276	0.03921390361
277	0.03895961038
278	0.03880436889
279	0.03862667977
280	0.03848606362
281	0.03832202466
282	0.03818783241
283	0.03802938177
284	0.03763917291
285	0.03743152401
286	0.0372897501
287	0.03702956982
288	0.03696312419
289	0.03667457908
290	0.03652495244
291	0.03635167964
292	0.03612743077
293	0.03598813988
294	0.0358502474
295	0.03554529217
296	0.0354219167
297	0.03525481598
298	0.03505145917
299	0.03489883694
300	0.03456290907
301	0.03435501784
302	0.03416367214
303	0.03398770527
304	0.03384694562
305	0.03370492129
306	0.0335894918
307	0.03347590628
308	0.03334931747
309	0.03326086473
310	0.03306688581
311	0.03283018055
312	0.03274764333
313	0.0326506053
314	0.03252017191
315	0.03227064872
316	0.03208368249
317	0.03197733468
318	0.03174516775
319	0.03160547596
320	0.03143720995
321	0.03133896056
322	0.03123037569
323	0.03116576454
324	0.03092383166
325	0.03076955222
326	0.0306785143
327	0.03059008725
328	0.03045579477
329	0.03036488108
330	0.03003949583
331	0.02989217688
332	0.02973101932
333	0.02963401339
334	0.02954083528
335	0.02936904994
336	0.02931005782
337	0.02897182114
338	0.02881502826
339	0.02872966575
340	0.02861707188
341	0.02846739834
342	0.02834699891
343	0.02817965894
344	0.02808470497
345	0.02801041106
346	0.02794379457
347	0.02784170256
348	0.02765531562
349	0.02760068538
350	0.02736336593
351	0.0272802215
352	0.02718616118
353	0.02713144998
354	0.02700131364
355	0.02685433696
356	0.02676909869
357	0.02657605083
358	0.0264514319
359	0.02634198269
360	0.02622714171
361	0.02607581264
362	0.0259885788
363	0.02590629507
364	0.02583492109
365	0.02574689857
366	0.02560096993
367	0.0255390421
368	0.02542327076
369	0.02531825924
370	0.02521398684
371	0.02515303474
372	0.02504394177
373	0.0249811503
374	0.02488369434
375	0.02476918167
376	0.02465248485
377	0.02454790452
378	0.02448676621
379	0.02440420749
380	0.02433902486
381	0.02428418886
382	0.0242121838
383	0.02407703997
384	0.02401933863
385	0.02396561642
386	0.02379864412
387	0.02364507687
388	0.0234252696
389	0.02326389359
390	0.0232154787
391	0.02310292098
392	0.02300985999
393	0.02288752934
394	0.02279464716
395	0.02275111245
396	0.02262329483
397	0.02255352236
398	0.02247169356
399	0.02235673099
